Título,Estrelas,Comentarios
Salada,5,"Simplesmente divina tudo combina, salada mista de folhas diversas palmito azeitonas com camarões cozidos é um conjunto perfeito."
Delícia,5,"Local agradável, atendimento bastante bom e pratos deliciosos. Um dos restaurantes mais recomendados a quem vai a Natal."
Excelente Custo benefício,5,"Eita! restaurante bom demais. Tudo é bom lá!! Atendimento nota 10, comida nota 10, você paga realmente a comida que come com prazer, o restaurante é aconchegante e bonito. Amamamos!!"
Muiito camarão!!!,5,"Adorei!! Tem camarão com todo tipo de molho e tempero.Me lembro de mais de 20 opções... Fica difícil para escolher.  Porções muito bem servidas e saborosas!!! Não é barato, mas vale a pena. Tive vontade de comer lá quase todos os dias para experimentar as diversas combinações!"
Camarões,5,"Estive em Natal em julho e esse restaurante foi muito recomendado por amigos e pelos sites, fui conferir e superou em muito a minha expectativa, a começar pelo ambiente, os garçons muito atenciosos e a comida eu diria que nunca comi pratos tão saborosos, digo pratos porque lógico fui mais de uma vez, o preço é muito justo e todos os pratos servem e muito bem duas pessoas. Super recomendo."
Restaurante Exclusivo de Natal,5,"O restaurante Camarões é exclusivo da cidade de Natal/RN. Existem dois localizados no Bairro de Ponta Negra e outros dois em shoppings da cidade (Mid  way e Natal Shopping). Já fui em todos eles. Eles seguem um padrão adaptado ao ambiente em que se localiza. O mais diferente é o Camarões do Natal Shopping, pois é express (serv-selvice). O atendimento é um dos melhores da cidade. A comida sai rápida. Quanto ao menu, possuem ótimas entradas e entre os pratos principais, seu forte, são os risotos de camarões. Mas possuem ótimos pratos de peixes e carnes também. Embora haja um padrão, o melhor deles é o Camarões Potiguar (Rua Pedro Fonseca Filho, 8887 - Ponta Negra - Natal/RN), pelo espaço amplo e aconchegante."
restaurante excelente,5,"Excelente em todos os aspectos, do preço ao atendimento e principalmente quanto ao sabor, que é imbatível! Não existe nada igual!"
Ótimo restaurante!,5,Fiquei muito bem mpressionada com a variedade pratos e com a qualidade do atendimento. As porções são muito fartas e saborosas! Perfeito!
"caprichado na qualidade , salgado noa hora de pagar a conta..",5,"Camarões do jeito que quiserem ... a la carte , rodizio ... alem de outros pratos ... Ricas opções de frutos do mar ... Sensacional na qualidade mas dói um pouquinho na hora de pagar a conta ..."
Vale a visita,4,"Conheço o restaurante há anos e é um ""must go"" quando se visita Natal. Os pratos são enormes. Dependendo da fome, um prato serve de três a quatro pessoas, tranquilamente. Recomendo o prato Camarão Potiguar."
delicioso,5,o melhor restaurante que fui....pedimos um camarão na moranga que estava divino.....atendimento excelente.....
Delicioso,5,"Comida farta e deliciosa, não sabíamos o que escolher, tantas eram as opções que nos agradavam! Apesar de não ser tão barato valeu muito a pena."
Muito bom,4,"Um ótimo ambiente, pratos deliciosos, preços dentro do esperado, atendimento de primeira, recomendo!"
Comida Saborosa,5,"Localização ótima na Praia de Ponta Negra. Recomendo o Camarões antigo, porque têm um novo na mesma rua. Comida muito gostosa. Não têm como estar em Natal e não ar uma passadinha por lá; Estive em Março de 2011"
Ótima experiência,4,Ambiente muito bonito e agradável e cardápio muito variado e especializado. Certamente retornaria com minha família em um próximo retorno a Natal.
Simplemente o melhor!!!,5,"Restaurante maravilhoso!!! comida formidável.. camarões enormes.. saborosos , uma variedade de pratos, frutos do mar!! tivemos que esperar para entrar mas vale a pena!! não tem como ir para NATAL e não no restaurante Camarões!!!  preço bom!!!"
Maravilhoso,5,"Muito bom... Estacionamento amplo, sem custo, com segurança. Mesas amplas, bom atendimento, preco bem acessível. Peca por não ter transfer hotel-restaurante e vice versa. Pratos para duas pessoas bem servidos."
"Bem servido, saboroso e preço em conta!",5,Pedimos um camarão para duas pessoas que comeriam três! Delicioso! Tivemos que esperar porque estava cheio mas a espera valeu muito a pena! Voltaremos!
O Melhor de Natal,5,"Localizado na Praia de Ponta Negra, o Restaurante Camarões é o melhor restaurante de Natal. Recomendo o prato Camarão Crocante com Risoto Brie. É uma delícia, que for pra Natal e não andar de buggy e não jantar no restaurante Camarões, é a mesma coisa que não foi para Natal!"
Comida e ambiente excelentes,5,"A comida é excelente. É um pouco mais caro do que os demais, mas o custo x benefício compensa. É sempre lotado, mas vale a pena esperar."
Qualidade garantida em Natal,4,"Ótimo restaurante, sempre lotado, com preços bem mais baratos que nas outras capitais. Há pratos individuais. Os pratos padrões podem ser pedidos para duas pessoas. Tem sala com ar condicionado. Se não quer fila, chegue mais cedo."
Excelência no que faz,5,"Ambiente, prestatividade, atendimento de qualidade e agilidade na disponibilizacao dos pratos além da qualidade. Sem duvida uns dos melhores restaurantes deste grande Brasil!  Andrei"
O melhor lugar da cidade para comer camarões,5,"Só precisa chegar cedo , pois há filas enormes qualquer dia da semana. Vale a pena qualquer espera. Também tem peixe e carne para quem não curte camarão. O pastel de entrada é maravilhoso também."
Excelente custo benefício,5,"Localizado em Ponta Negra, bairro de praia urbana em Natal. Pratos de frutos do mar saborosos, mas a especialidade da casa é camarão feitos em diversas formas. Local muito agradável, ambiente familiar e atendimento perfeito."
Nota 10,5,"O ambiente é delicioso, atendimento eficiente e discreto. O pastel de camarão de entrada é delicioso. Como prato principal o Camarão a Ponta Negra é excelente e muito bem servido. A sobremesa de frutas vermelhas é uma delicia, vale a pena."
comida excelente!,5,"Bom atendimento, comida excelente, bom custo-benefício, ambiente muito agradável... um ótimo restaurante..."
Ótimo restaurante,5,Melhor restaurante de frutos do mar que conheço... sem duvida um dos melhores do brasil!! Pratos muito bem servidos e saborosos!!
Muito bom!,5,"Comida bem servida. Recomendo a todos. O camarão é muito bem preparado, um dos melhores que já comi, realmente muito suculento."
Sensacional!!,5,"Eu estive no restaurante com minha esposa, amigos e primos. Ficamos apaixonados pelo restaurante: atendimento, sabor, bebidas e preço. Fomos muito bem atendidos, os pratos foram muito bem servidos além do preço ser ótimo! Recomendo e retornarei com certeza."
EXCELENTE RESTAURANTE,5,"O melhor camarão de todos. Local muito agradável, com bom preço e bem frequentado. Como ponto negativo é fato de estar sempre muito cheio o que pode levar a ter que esperar mesa."
Muitas variedades para quem gosta de camarões,5,"Todos os pratos dá para 2 pessoas, o preparo é muito bom, muito gostosa, tem muita variedade, é imperdível."
Lugar lindo,5,"A decoração, o ambiente, o atendimento e a comida eram muito boas e os pratos muito bem servidos, com preço bom. Não é á toa que todo taxista recomenda este restaurante, pois a comida é excelente."
Gastronomia de qualidade,5,Vale a pena conhecer o lugar com vista para a Praia de Ponta Negra e escolher qualquer item do cardapio acompanahdo por umbom vinho. Atendimento dentro do esperado.Cuidado com horarios de pique porque forma-se fila de espera.
Esplêndido!!!!,5,"Recomendo a todos que forem a Natal. Além de um ambiente extremamente agradável , a comida é maravilhosa. Pratos fartos,e atendimento impecável!"
camarão excelente,5,"o restaurante é muito bom , excelente atendimento ,um local central onde todos possa ir , a comida muito boa recheado de muito camarão o ambiente super climatizado  onde tem ocasião para todos seja romântico ou em família o restaurante é ótimo."
Realmente maravilhoso.,5,"Deve-se conhecer e provar as delicias ,fui 3 vezes qdo fui a natal, atendimento e comida excelentes, lugar agradável, adorei e indico.Cozinha de nível internacional."
Excelente,5,"Comi moqueca de camarão, uma delícia. Ainda prefiro o Coco Bambu, mas pra quem estar em Natal a parada no Camarões é obrigatória. O ponto negativo é que no fim de semana é lotado e tem uma fila enorme então tem que ter paciência. Os pratos são geralmente muito fartos, então não gaste $ com entradas."
Excelente custo benefício,5,"Fui neste restaurante em minha viagem de férias a Natal e não me arrependi. Muito pelo contrário. A comida é maravilhosa e com preço excelente. Pra quem gosta de camarão, não tem nada melhor. E os garçons muito atenciosos. Vale a pena conhecer!"
Nobrissimo,5,"Instalação perfeita, atendimento impecável, pratos internacionais, Sobremesas impecáveis...  Mesmo tendo chegado e o restaurante estar lotado, valeu a pena... Sala de espera é um conforto impar e agradabilíssima..."
Muito bom,5,"Atendimento excelente, comida maravilhosa e lugar agradabilíssimo!!! Não achei o preço muito salgado."
Imperdível,5,"Sem dúvida é o melhor e mais popular restaurante de Natal. Extensa gama de pratos, tipos de molhos e acompanhamentos com camarões como o próprio nome já diz e outros frutos do mar, O cardápio de sobremesas é bem interessante também. Custo aceitável para um restaurante classe A. Possui 03 ou 04 casas do mesmo grupo. A que eu frequentei foi a mais tradicional e primeira dentre as 03 que fica num Bairro residencial numa Avenida de frente para o mar."
Comida maravilhosa,5,"Fui no dia de rodízio de frutos do mar, comi pela primeira vez lagosta e adorei! Local tranquilo e familiar, indico a todos."
O melhor!,5,"Nunca comi frutos do mar tão deliciosos! Fomos três vezes em cinco dias, pois é mto bom mesmo! Camarões de todo jeito: empanado com gergelim, recheado, a parmegiana... Preço justo para os pratos excelentes. Gastamos em dois em torno de 110,00 reais. Recomendo!!!!"
Muito bom,4,"A comida é excelente, atendimento excelente, só é muito cheio as vezes. Adorei o local. Os pratos com camaroes e peixes são os melhores, a sobremesa é de qualidade."
Imperdível,5,"Recomendadissimo, tudo perfeito, a entrada de escondidinho de carne seca foi a melhor que ja comi até hoje, O atendimento é muito bom o restaurante é bem localizado e bem próximo de inúmeros hotéis. NAão da para ir a NAtal e nao conhecer o CAmarões"
Frutos do mar maravilhosos!,5,"Conheci o restaurante quando viajei a Natal em uma virada de ano (2010/2011). Não tinha muitas informações do local previamente mas pela estrutura já tinha ideia do valor aproximado. No dia que fui havia fila de espera. Porém não foi problema esperar, pois o local tem um ambiente confortável para quem aguarda mesa disponível, onde pode-se pedir algum drink/bebida e/ou entradas. A comida estava excelente e atendimento impecável, com muita educação de todos. O preço não é dos mais baratos. Quando fui um prato de lagosta para duas pessoas estava em média R$150,00. Valeu a pena o gasto. Recomendo muito se estiver afim de um ambiente mais refinado e se estiver conhecendo a cidade e disposto a gastar um pouco mais."
Fantástico! Nunca comi camarões tão gostosos,5,"Lugar agradável, preços honestos. Não deixe de experimentar os camarões empanados com gergelim, são divinos! Ah, os com queijo mussarela também são deliciosos."
Excelente,5,Excelente restaurante. Limpo. Bem localizado. O preço é meio salgado. Mas servem camaroes enormes e saborosissimos. Perfeito.
Simplesmente maravilhoso!!!,5,"Nota 10. Atendimento,  decoração, ambiente muito agradável e tempero maravilhoso. Preço justo. Espero voltar em breve..."
Excelente...,5,"Ambiente agradavel, aconchegante, atendimento exemplar. Recomendo provarem o profiterole e o doce de coco verde."
O restaurante do RN,5,"Recomendo!!!!Ambiente aconchegante, comida de qualidade, atendimento VIP, enfim, estabelecimento com tradição e satisfação garantida."
Vale a pena,5,"Um bom restaurante, camarões de primeira qualidade com um preço muito bom !! Não deixe de visitar esse restaurante, se puder vá mais de uma vez pq vale a pena."
Camarões e camarões!,5,"Bem, se amamos camarões não haveria jeito de não visitar este ótimo restaurante!!!! Recomendo o prato com camarões empanados! Excelente!"
Excelente.,5,"Pratos ótimos com preço adequado à qualidade. Serviço e ambiente excelentes. Dica: Pastel de camarão, uma delícia."
Fantástico!!!,5,"Maravilhoso! Não deixe de ir, sonho em voltar a Natal para ir novamente. O atendimento é ótimo, tudo muito organizado e delicioso."
Restaurante de frutos do mar,4,"Otima opcao em Natal / RN para quem deseja comer um bom camarao, com precos justos e um excelente atendimento. Vale a pena conferir, podendo ser na Ponta Negra ou no Shopping."
Quem vem à Natal tem que ir,5,"Qualquer um dos três é maravilhoso. No Camarões ""de cima"", ou seja, da avenida Roberto Freire, recomendo o prato Camarão Potiguar. Já nos outros dois (o ""de baixo"" e o do Midway) tem o peixe com risoto siciliano. Divino! E ainda, as sobremesas: mil folhas de chocolate, petit gateau ou tiramissu. Tudo perfeito!"
Maravilhoso,5,apreciamos de entrada polvo e bruscheta e depois 3 pratos diferentes e tudo estava perfeito. .......................................................................................
Excelente restaurante em Natal/RN,4,"Um dos melhores restaurantes que já comemos e sem dúvida nenhuma o melhor de Natal/RN. Já fomos a Natal 04 vezes e este restaurante foi parada obrigatória! Pelo próprio nome, a especialidade da casa é o camarão com vários tipos de pratos e um sempre melhor que o outro. Mas além do camarão, existem 02 pratos que minha família adora e sempre que vamos, tem que estar na mesa...O espaguete de frutos do mar com molho pesto (maravilhoso!) e o delicioso espagueti com filé a parmegiana (delicioso!).  Quem for a Natal não pode deixar de ir ao Camarões."
Isso sim é camarão!,5,"Simplesmente DELICIOSO! Não tenho reclamações a fazer, e posso resumir da seguinte forma: - comida ótima e de qualidade; - atendimento impecável; - ambiente acolhedor, familiar e muito limpo; Acredito que o Rio Grande do Norte seja o melhor local do mundo para se comer camarão, pois é um dos maiores produtores mundiais, e nada melhor do que comer em um dos restaurantes mais tradicionais da cidade. Gostei tanto que voltei ao restaurante mais 3 vezes no período que estive em Natal. Tive a oportunidade de provar diferentes pratos e entradas."
"Tudo muito bom, menos serviço",5,"Comida muito boa, eu só acho que as vezes os garcoes não dão muita atenção aos clientes, mas isso acontece algumas vezes! Sempre quando vou para natal é tipo obrigatório eu ir para esse restaurante tem alguma coisa que me chama atenção a comida é super gostosa e sem falar que a rapidez é very n tenho nada a reclamar!"
The best ! / O melhor !,5,"Fui ao Camarões por indicação de amigos que sabem que gosto de comer muito bem. O Camarões de Ponta Negra é excelente. Serviço, ambiente, atendimento de qualidade. Eu tomei um caipiroska de cajá e pedi um caldo de peixe de entrada que dava vontade de comer de joelhos de tão bom. O prato que escolhi foi camarões ao molho de fungui com arroz e pire. Leve e saboroso. Os camarões são gigantes e tem que ser cortados em pelo menos 03 pedaços. Mas não achei o preço justo: pela qualidade poderiam cobrar até mais porque no Rio ou em SãoPaulo não se encontra tanta qualidade a tão baixo  custo. Voltarei lá sempre!"
Melhor frutos do mar em Natal,5,"Possui cardápio com constantes atualizações, mas os pratos com camarões, são maravilhosos. Não podendo deixar também de degustar os pratos com lagostas. Excelente atendimento, ambiente aconchegante, sofisticado e com instalações modernas. Sem duvida o melhor restaurante de frutos do mar que conheci."
Tudo delicioso!!,5,"Comida perfeita! São pratos individuais, bem servidos, preparados com muito requinte, bom gosto. Tem dois restaurantes lá em Natal com este nome. O segundo é mais espaçoso e achei melhor. Porém, a comida é deliciosa nos dois restaurantes. Recomendadíssimo!"
O melhor,5,"Sem dúvidas,  um dos melhores restaurantes de frutos do mar que já fui.  Ótimo ambiente, aliado ao bom atendimento e excelente comida, sem contar o custo benefício que é bem bacana.  Recomendo um prato com camarões gratinados e arroz com brocolis. Delicioso.  Vale a pena conferir."
Quem vem a Natal não pode deixar de ir,5,"Todos os turistas que passam por Natal não podem deixar de degustar dos deliciosos pratos do restaurante. Além dos famosos pratos de camarão, não deixa a desejar com as entradas, files.. enfim, todos os pratos servidos. Vale a pena!"
Camarões/ Natal,5,"É seguramente o melhor restaurante de Natal. A arquitetura do local é de muito bom gosto, muito bem decorado, cardápio variadíssimo e perfeito, muito bem atendido, amplo estacionamento, e bem localizado na praia de Ponta Negra."
Fantástico,5,"Quando estive fui muito bem recebida e a comida estava ótima, indico a todos que forem a linda cidade de Natal"
Comida divina,5,"Sou de fortaleza, e lá temos um restaurante semelhante, pelo menos era o que eu achava antes de conhecer o verdadeiro camarões! Que camarão é aquele!? Delicioso... Tem também umas entradas maravilhosas. Preço justíssimo."
Sem dúvida o melhor camarão do nordeste,5,"Estivemos, um casal amigo e minha esposa e eu, nesse magnífico restaurante, alias, estivemos em 2, sendo um no shopping e outro na Ponta negra, pratos de camarões para 2 pessoas que serviriam até 4. Os 2 restaurantes muito bem montados e com pessoal muito atencioso. A decoração com motivos de frutos do mar davam ao ambiente um tom muito especial, nota 10."
Muito bom! Recomendo!,5,"o melhor lugar para comer camarão em Natal, localização excelente, atendimento rapidíssimo, tudo da melhor qualidade."
Mau atendimento,3,"Estive ontem com a minha família. Chegamos bem cedo, pois na noite anterior já tínhamos tentado ir, mas tinha uma fila inacreditável. Pedimos um filé de peixe com molho de camarão, que mal deu para duas crianças pequenas, eu e meu marido. Parece até que os garçons têm um tempo mínimo de atendimento de 30 minutos. Não te servem, e querem logo te despachar, para pegar outro cliente. Foi muito desagradável! Até porque estivemos no Camarões mais antigo e fomos super bem atendidos. Para finalizar o garçom ainda perguntou se queríamos sobremesa. Só se fosse prá viagem, ou prá comer em pé, pois por pouco não fomos expulsos."
Nao gostamos,2,"Fomos jantar no famoso camaroes potiguar,3adultos e 1 crianca pedimos um prato de frutos do mar e um de carne ao ponto , nos servirao a carne mal passada sangrando e o frutos do mar uma quantia muito pequena.nao valeu os 192 reais gastos."
Avaliação baseado em atendimento para apenas 1 pessoa,2,"Com certeza o foco deles não é aquela pessoa que está sozinha. Há poucas opções de pratos e você é direcionado a mesas ruins, além do mau humor do garçom. Se não é lucrativo atender somente uma pessoa é melhor informar na entrada do restaurante do me atender com má vontade como fui atendido. De qualquer forma esse Camarões (tem dois) que fica ao lado do Holiday Inn é fracasso, ande mais 500m e vá no outro que é show."
excelente indico :-),5,"Quando eu e minha grande familia fomos a Natal no ano passado, um amigo havia nos indicado a ir no Camaroes Restaurante .  E de fato e um confortavel estabelecimento, com precos visto ao local e a comida saborosissima !!!   Atendimento muito bom,  nao ficamos esperando pra sermos atendidos."
Boa opção para um almoço,4,"Vá cedo ou com paciência, a fila de espera e grande. Os pratos servem, na media, 3 pessoas. Recomendo o camarao potiguar ou o do chef."
Vou sempre que vou a Natal,5,"Sempre que vou a Natal almoço no Camarões , a comida é ótima com pratos de qualidade ,e o atendimento muito bom. O ambiente é bem agradável com uma vista muito boa no primeiro andar. Recomendo!"
Excelente comida!,5,"Não dá pra ir a Natal e não comer do camarão preparado lá! Ótimo atendimento, preço em conformidade com o nível do restaurante, e comida divina são algumas das características do Camarões!"
amantes dos frutos do mar.,4,muito bom!! pratos com crustáceos que deixam lembranças e claro da mariscada :imperdível!!o ambiente para vários gosto que vão daqueles que pode ser usado o traje de banho ao mais social .
EXCELENTE! O MELHOR DE NATAL!,5,"Restaurante moderno, comida EXCELENTE, farta, preço justo pela altíssima qualidade e o ótimo atendimento recebidos. Sempre que vou a Natal é parada obrigatória almoçar no Camarões. Casa lotada sempre, procure chegar cedo para garantir uma mesa. Carta de vinhos ótima, drinks deliciosos e a entrada sensacional! imperdível!"
Qualidade em serviço e produto,5,"Certa noite fui jantar no restaurante camaroes em natal por indicaçao de uma amiga e simplesmente fantastico  considerando , serviços,  a comida em si era maravilhosa e o preço cobrado eu cheguei a pensar que estava errado de tao barato. Eu diria  algo maravilhoso , parabens , continuem assim  Tony Louzada"
Excelente,4,"Restaurante muito bem localizado com vista para o mar de Ponta Negra, estacionamento fácil, ambiente super agradável e serviço nota 10, muito bom mesmo não deixe de visitar."
O melhor!,5,"Restaurante sensacional: bom atendimento, comida MARAVILHOSA, ótimo custo x benefício! O melhor restaurante de frutos do mar que conheço! Pra quem gosta de peixe, não deixe de experimentar o sirigado! Só procure chegar cedo pra não esperar muito!"
Internacional,4,"Camarão internacional eh o melhor!! O restaurante eh uma delicia, a comida eh maravilhosa, atendimento maravilhoso!! Fomos comemorar o noivado de uma amiga e foi fantástico! Sou louca pra voltar!!!"
Excelente,5,"Freqüentemente vou com minha família ao Camarões, todos os tipos de camarão que já comi são todos excelentes, as entradas são maravilhosas. Considero que tem uma boa carta de vinhos. O atendimento é sempre muito bom. Recomendo."
CAMARÕES POTIGUAR,5,"O restaurante Camarões Potiguar em Natal, tanto o de Ponta Negra quanto o do shopping Midway, é considerado um dos melhores restaurantes do nordeste, com ótima comida e um perfeito atendimento."
O melhor de Natal!,5,"O melhor restaurante de Natal. Atendimento e cardápio excelentes. Recomendamos quaisquer pratos, sem medo de errar. Não se esqueça de pedir o pastel de camarão de entrada."
Ótimo Restaurante,4,"Famoso. Fila de espera, com cadeiras onde se pode aguardar sentado. Mas a espera compensou, pois a comida é muito boa. Restaurante especializado em frutos do mar. Muitos pratos com camarão."
Estupendo,5,"Excelente, atendimento ótimo, comida então nem se fala.. Está localizado em Ponta Negra uma das praias mais famosas de Natal e tem vista privilegiada do mar e do Morro da Careca, cartão postal d nossa cidade."
Sensacional,5,Todos os restaurante de Natal oferecem camarão como prato principal mas o  melhor Camarão de Natal é no Restaurante Camarões !!!!!!!
Restaurante show de bola!!!,5,Este restaurante já virou ponto turístico em Natal. Sempre lotado. É importante chegar cedo para garantir o lugar. Ambiente ideal para almoçar ou jantar em família. Recomendo muito!!
delicia,5,"o local é limpo, chic e está localizado em um local de fácil, acesso....fui muito bem atendida e, a comida MARAVILHOSAAAAA....recomendo ...."
Camarão eh com eles mesmos,5,"Um otimo restaurante, um bom atendimento e uma otima estrutura... a comida é servida para duas pessoas até 3"
Vários cardápios contendo camarões com ótimo custo benefício,5,"Em Natal, não deixem de jantarem no restaurante Camarões onde pode-se saborear vários pratos saborosos camarões. O cuto é atraente principalmente no meu caso, por seu paulista. Recomendo!"
Excelente,5,"Comida ótima, ambiente muito agradável, atendimento fantástico, porções muito bem servidas, quando fui foi no horário de almoço entao o ambiente estava muito tranquilo mas ja ouvi falar que para o jantar é muito lotado e que é necessário chegar bem cedo para conseguir mesa se não é necessário esperar um bom tempo."
Delícia!,5,"Já imaginávamos que a comida seria boa e não nos decepcionamos ao experimentá-lá! Pedimos o camarão potiguar, prato bem servido e deliciosamente preparado. Apreciamos muito por ser um dos poucos que não tem queijo na receita. Os escondidinhos na entrada também estavam ótimos e os anéis de lula super crocantes! O brigadeiro de sobremesa é um must! Voltarei sem dúvida!"
Excelente,5,"Adoramos o Camarões NOVO do inicinho da Via costeira (o outro, em Ponta NEgra, é mais antigo e não tem um ambiente tão bacana). A comida chega rápido, é maravilhosa e o ambiente é lindíssimo! VAle a pena chegar cedo, assim q abrir (18h30, 19h)."
Que comida!!!,5,Excelente atendimento. Bom preço e comida... nem se fala! Muito gostoso. Pratos bem elaborados e fartos.
Muito bom camarão,4,"cria-se uma confusão entre os dois restaurantes que tem o mesmo nome de Camarões- um é mais sofisticado e melhor e o outro - que fica na avenida - é mais simples, embora a comida seja muito boa, com preços caros"
Boa pedida!,5,"Almoçamos neste fabuloso restaurante que fica em Ponta Negra. Camarões bem preparados e muito deliciosos! O atendimento e a infraestrutura do local também se destacaram positivamente.  Vale a pena conferir!! Alto padrão, sem cobrar exageradamente por isso."
O Melhor de Natal,5,"O melhor restaurante de Natal. Comida excelente, serviço muito bom e ambiente perfeito. Vale a pena visitar. Um prato custa cerca de R$ 70,00 e serve muito bem 2 pessoas com sobra."
Altamente recommendavel,5,"A qualidade da comida e realmente maravilhoso, sabor perfeito.  Tem que gastar bastante Reais, mas e compensado. Melhor paga um pouco mais do que nos restaurantes similares dos concorrentes, a comida vale cada centavo. Evita horariode pico, gente demais ! ,"
Excelente restaurante!,5,"O restaurante é muito bem instalado, os empregados são muito atenciosos, a comida é divina, a porção é farta e o preço justo!! Não deixe de experimentar!"
"Boa comida,em ótimo local",4,Oportunidade de comer bem e aproveitar para visitar a feira de artesanatos e outras lojas que ficam perto do restaurante. O preço é um pouco puxado.
Delicioso.,5,"Apesar de, em alguns dos dias, termos de enfrentar espera (feita com o aviso eletrônico), valeu à pena pela qualidade das refeições. Todas caprichadas e capazes de alimentar duas pessoas tranquilamente."
Melhores camarões que já comi!,5,"Fui com minha esposa em Natal e comemos todas as noites no Camarões. Restaurante muito confortável, bonito, bem frequentado, com bom atendimento, comida perfeita com preço justo. Recomendamos e sugerimos o risoto de tomate seco com camarões ao manjericão. Serve bem até três pessoas. Excelente restaurante!"
Excelente Restaurante,5,"Ambiente agradável nas duas unidades de Ponta Negra e os pratos muito saborosos. Experimente os camarões típicos com castanhas de cajú, mas qualquer prato é muito bem servido."
Comida excelente,4,"Os pratos são deliciosos e a caipirinha de cajá é imperdível!!! Bom programar-se para fila e espera, pois sempre está cheio."
Camaroes maravilhoso!!!!,5,"Restaurante incrivel, fui duas vezes, preco camarada e comida inesquecivel, recomendo, quero muito voltar a Natal e com certeza voltarei ao Camaroes!!"
Melhor Camarão que eu comi!,5,"Melhor restaurante de camarões que eu já tive o prazer de comer. Não se engane, os pratos são gigantescos. Servem fácil 4 pessoas. Lugar muito agradável, decoração moderna. Como a casa é sempre muito cheia, coloco seu nome na lista e vá para a sala de espera. Lá, peça pelos pastéis de camarão que são muito gostosos. Serviço excelente!!"
"Excelente, imperdível!",5,"Não deixe de ir nesse restaurante, a comida, o atendimento, o local, tudo é muito bom. Relação custo/benefício é boa. Comida ótima e farta. Vá!"
Sensação de realeza.,5,"Este restaurante com visual moderno e amplo estacionamento me conquistou com a simpatia do atendimento e com a qualidade da comida. Folheando o menu o garçom perguntou se podia ajudar. Respondi que estava procurando uma combinação de camarão com coco. Ele respondeu que havia um prato, mas tinha sido removido do cardápio pelo fato de quase ninguém pedir, mas que o chef teria o maior prazer de preparar um prato desses para mim. Fiquei encantado, não só por isso, mas pela qualidade e sabor do prato, divino. Saí me sentindo um rei."
Quer comer bem?,5,"Preço bom, fartura e, principalmente, sabor!!!! Camarão da melhor qualidade! Pratos para 2, mas vale comer sozinho tambem! Tem fila as 18h30 !!!! Vá com fome e sem pressa"
Restaurante excelente,4,"Estive em junho de 2013 juntamente com meu irmão, sua namorada, minha esposa e o nosso filho comemorados a nossa terceira década de vida pela graça de DEUS. Os serviços prestados prestado são de excelente qualidade, a comida e o atendimento também."
Excelente restaurante,5,"Excelente restaurante. Comida deliciosa. Tudo muito organizado e excelente atendimento. O prato ""estrela-do-mar"" é muito bonito e delicioso."
Comida maravilhosa e um preço justo,5,"Nota 1000...a comida é excelente, um atendimento impecavel, e o melhor. o preço é realmente justo pelo que oferecem....ficamos resceiosos em ir pela fama do restaurante, puro engano, acabamos pagando mais caro em outros lugares que não fomos tão bem servidos..quem for a Natal não deixe de ir conhcer."
Excente,5,"Boas instalações, comida maravilhosa, fácil acesso, excelente custo benefício. Com certeza voltaremos muitas vezes..."
Excelente!,5,"Excelente serviço e atendimento atencioso. Pratos maravilhosos e muito bem servidos, a majoria a base de camarão, os pasteis também são uma boa pedida. reserve ou chegue cedo pois acostuma a ser muito concorrido."
Para os amantes de Camarão !,4,Restaurante ideal para os amantes de camarão como nós ! Pedimos logo um dos pratos mais caros  do cardápio e não nos arrependemos - o camarão parecia mais uma lagosta! D e l i c i o s o ! O único porém: a fila - aguardamos muito para entrar...
FRUTOS DO MAR,5,"muito bem servido, especialmente os frutos do mar. o ambiente é muito aconchegante. no primeiro pavimento a vista da praia de ponta negra é muito bonita o banheiro é completo , e  muito amplo a decoração e diferente e muito bonita além dos pratos com camarões, os pratos com peixe são recomendados"
Excelente,5,"Comida farta, preço compatível com o restaurante, rapidez no atendimento, foi uma das melhores refeições  em um ambiente sofisticado e muito prazerosamente ."
Espetáculo,5,"Ir a Natal e não ir no Camarões é como ir a Roma e não conhecer o Papa. Diversidade enorme de pratos de camarões e todos são bons, bem servidos, servem duas pessoas fácil. Muito farto em Camarões. Excelente custo beneficio!!!"
Imperdível!!!,5,"Estive em Natal em abril deste ano e fui ao menos 5 vezes ao Camarões. Impossível enjoar tamanho o cardápio e suas variedades. Vale a pena cada centavo gasto, além de ser uma ótima atração em Natal."
Almoço Especial,5,"Para quem gosta de camarão, este é o lugar ideal para apreciar esta iguaria. estive no periodo de carnaval, mas mesmo assim fomos atendido com rapidez e eficiência"
perfeito!!,5,"Ótimo restaurante , atendimento perfeito , mas o bom mesmo foi o sabor dos pratos , fiquei hospedado ao lado e aproveitei bastante, preço bem acessível pela qualidade , recomendo!!"
Camarões a vontade!,4,"Imperdível para quem gosta de camarões; pratos muito bem feitos, com porções generosas de camarões; bom atendimento; é um clássico em Natal - difícil estar nesta cidade e não jantar neste restaurante."
União da gastronomia e requinte .,5,União perfeita de boa culinária num ambiente de beleza q proporciona ao turista o desejo de retornar a Natal por tudo o q é oferecido : boa comida num local belo.
Obrigatório em sua visita em Natal.,5,"O melhor restaurante de frutos do mar da capital potiguar. Cardápio completíssimo e preços justos. Para entrada, um escondidinho de camarão e principal, camarão no jerimum. Serve 2 pessoas com fartura."
